    25.445,     15.064 
    25.544,     15.063 
    25.644,     15.062 
    25.745,     15.060 
    25.845,     15.058 
    25.945,     15.057 
    26.046,     15.056 
    26.145,     15.055 
    26.245,     15.053 
    26.346,     15.052 
    26.446,     15.051 
    26.546,     15.050 
    26.647,     15.049 
    26.746,     15.048 
    26.846,     15.046 
    26.947,     15.045 
    27.047,     15.044 
    27.148,     15.043 
    27.248,     15.042 
    27.348,     15.041 
    27.448,     15.040 
    27.548,     15.038 
    27.648,     15.037 
    27.749,     15.036 
    27.849,     15.035 
    27.949,     15.034 
    28.049,     15.033 
    28.149,     15.031 
    28.249,     15.030 
    28.350,     15.029 
    28.450,     15.028 
    28.550,     15.027 
    28.651,     15.026 
    28.750,     15.025 
    28.850,     15.023 
    28.951,     15.022 
    29.051,     15.021 
    29.152,     15.020 
    29.252,     15.019 
    29.351,     15.018 
    29.452,     15.017 
    29.552,     15.016 
    29.652,     15.015 
    29.753,     15.013 
    29.853,     15.012 
    29.952,     15.011 
    30.053,     15.010 
    30.153,     15.009 
    30.253,     15.007 
    30.354,     15.006 
    30.454,     15.005 
    30.554,     15.004 
    30.654,     15.003 
    30.754,     15.002 
    30.854,     15.001 
    30.955,     14.999 
    31.055,     14.999 
    31.155,     14.998 
    31.255,     14.996 
    31.355,     14.995 
    31.456,     14.994 
    31.556,     14.993 
    31.656,     14.992 
    31.757,     14.991 
    31.857,     14.990 
    31.956,     14.989 
    32.057,     14.988 
    32.157,     14.987 
    32.257,     14.986 
    32.358,     14.984 
    32.458,     14.983 
    32.557,     14.982 
    32.658,     14.981 
    32.758,     14.980 
    32.858,     14.978 
    32.959,     14.978 
    33.059,     14.977 
    33.158,     14.976 
    33.259,     14.975 
    33.359,     14.973 
    33.459,     14.972 
    33.560,     14.971 
    33.660,     14.970 
    33.761,     14.970 
    33.860,     14.968 
    33.960,     14.967 
    34.061,     14.966 
    34.161,     14.965 
    34.261,     14.964 
    34.362,     14.963 
    34.461,     14.962 
    34.561,     14.961 
    34.662,     14.960 
    34.762,     14.959 
    34.862,     14.958 
    34.963,     14.956 
    35.062,     14.956 
    35.162,     14.954 
    35.263,     14.953 
    35.363,     14.952 
    35.463,     14.951 
    35.564,     14.950 
    35.664,     14.949 
    35.763,     14.948 
    35.864,     14.947 
    35.964,     14.947 
    36.065,     14.945 
    36.165,     14.944 
    36.265,     14.944 
    36.365,     14.942 
    36.465,     14.941 
    36.565,     14.941 
    36.666,     14.939 
    36.766,     14.938 
    36.866,     14.937 
    36.967,     14.936 
    37.066,     14.935 
    37.166,     14.934 
    37.267,     14.933 
